timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,12,58.803410520497046,-74.50256524717172,94.91297760186002,-51.716661599646926,7.702142417008365,58.74440095895176,1,0,0.46153846153846156,150-1,40,275.79582143944475
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,6,102.64084157308845,41.22759198470468,110.61128649323778,21.883773690316243,5.249138694467794,39.30300033010873,1,2,1.0,150-1,40,6.048212396541146
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,5,159.29968398095028,7.63879792410849,159.4827280621823,2.745365641715868,4.420092371788846,44.17458119162454,1,5,0.4,150-1,40,-94.37220042783281
4.016666666666658,SPH_OPENING_APPROACH,150,150-1,1,135.17078683379407,39.14940695179304,140.72603766874167,16.152559956376155,0.0,0.0,0,1,1.0,150-1,40,8.183723416765645
4.016666666666658,SPH_OPENING_APPROACH,180,180-1,63,7.3160157475319245,-37.54674436415619,38.25287046439038,-78.97402282802373,41.32258477968742,77.29629195987712,0,0,0.984375,180-1,40,-1.2762588466688385
4.016666666666658,SPH_OPENING_APPROACH,180,180-2,6,106.71760970900995,-114.33466389924905,156.40033117279137,-46.9735261771292,2.1899850471937006,37.963038564983506,1,2,1.0,180-2,40,13.887045077366054
4.016666666666658,SPH_OPENING_APPROACH,180,180-5,4,42.455368093961155,-74.1275217198724,85.4245149610104,-60.19875672199849,4.813586389368359,30.665624999666,1,0,1.0,180-5,30,-3.4826394380927184
4.016666666666658,SPH_OPENING_APPROACH,180,180-3,4,104.96962506013905,48.789619068917915,115.75426175375269,24.928887133046643,2.4361572597649124,27.053113430468073,1,2,1.0,180-3,40,7.981720858698935
4.016666666666658,SPH_OPENING_APPROACH,180,180-3,3,36.043710964117885,-1.1101898374685197,36.06080450489271,-1.7642214476407563,11.114831663963919,18.745853445011505,2,0,1.0,180-3,40,-10.468020287997533
4.016666666666658,SPH_OPENING_APPROACH,180,180-3,2,80.8633455090194,5.639064036406806,81.05972915151978,3.989104662822069,0.1467947676894903,8.42238212782904,0,0,1.0,180-3,40,3.344581496794774
